idx,default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,sex,marriage,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker,rank_svm_saw
514,0,0 <= ... < 200 DM,12,delay in paying off in the past,domestic appliances,585,... < 100 DM,1 <= ... < 4 years,4,male , married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee / official,1,none,yes,
515,0,no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,... < 1 year ,4,male , single,none,1,if not A121 : building society savings agreement/ life insurance,54,none,own,1,skilled employee / official,1,none,yes,
516,0,< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),609,... < 100 DM,4 <= ... < 7 years,4,female , divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,none,no,
517,0,< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),1361,... < 100 DM,... < 1 year ,2,male , single,none,4,real estate,40,none,own,1,unskilled - resident,2,none,no,
518,1,no checking account,36,critical account/ other credits existing (not at this bank),radio/television,7127,... < 100 DM,... < 1 year ,2,female , divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
519,0,< 0 DM,6,existing credits paid back duly till now,car (new),1203,100 <= ... < 500 DM,.. >= 7 years,3,male , single,none,2,if not A121 : building society savings agreement/ life insurance,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
520,0,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,700,unknown/ no savings account,.. >= 7 years,4,male , single,none,4,unknown / no property,36,none,for free,2,skilled employee / official,1,none,yes,
521,0,no checking account,24,critical account/ other credits existing (not at this bank),education,5507,... < 100 DM,.. >= 7 years,3,male , single,none,4,unknown / no property,44,none,for free,2,skilled employee / official,1,none,yes,
522,1,< 0 DM,18,existing credits paid back duly till now,domestic appliances,3190,... < 100 DM,1 <= ... < 4 years,2,female , divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,
523,1,< 0 DM,48,no credits taken/ all credits paid back duly,radio/television,7119,... < 100 DM,1 <= ... < 4 years,3,male , single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,
524,0,no checking account,24,existing credits paid back duly till now,car (used),3488,100 <= ... < 500 DM,4 <= ... < 7 years,3,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes,
525,0,0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,1113,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,none,yes,
526,0,0 <= ... < 200 DM,26,existing credits paid back duly till now,car (used),7966,... < 100 DM,... < 1 year ,2,male , single,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,none,yes,
527,0,no checking account,15,critical account/ other credits existing (not at this bank),(vacation - does not exist?),1532,100 <= ... < 500 DM,1 <= ... < 4 years,4,female , divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes,
528,0,no checking account,4,critical account/ other credits existing (not at this bank),domestic appliances,1503,... < 100 DM,4 <= ... < 7 years,2,male , single,none,1,real estate,42,none,own,2,unskilled - resident,2,none,yes,
529,1,< 0 DM,36,existing credits paid back duly till now,domestic appliances,2302,... < 100 DM,1 <= ... < 4 years,4,male , divorced/separated,none,4,"if not A121/A122 : car or other, not in attribute 6",31,none,rent,1,skilled employee / official,1,none,yes,
530,0,< 0 DM,6,existing credits paid back duly till now,car (new),662,... < 100 DM,... < 1 year ,3,male , single,none,4,real estate,41,none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,
531,0,0 <= ... < 200 DM,36,existing credits paid back duly till now,(vacation - does not exist?),2273,... < 100 DM,4 <= ... < 7 years,3,male , single,none,1,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,2,none,yes,
532,1,0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= ... < 500 DM,1 <= ... < 4 years,2,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
533,0,no checking account,12,delay in paying off in the past,car (used),1503,... < 100 DM,1 <= ... < 4 years,4,male , married/widowed,none,4,real estate,41,none,rent,1,skilled employee / official,1,none,yes,
534,0,no checking account,24,existing credits paid back duly till now,domestic appliances,1311,100 <= ... < 500 DM,4 <= ... < 7 years,4,male , married/widowed,none,3,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
535,0,no checking account,24,existing credits paid back duly till now,domestic appliances,3105,unknown/ no savings account,... < 1 year ,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes,
536,1,>= 200 DM / salary assignments for at least 1 year,21,critical account/ other credits existing (not at this bank),(vacation - does not exist?),2319,... < 100 DM,... < 1 year ,2,male , divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute 6",33,none,rent,1,skilled employee / official,1,none,yes,
537,0,< 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/ no savings account,unemployed,4,female , divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,75,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
538,0,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,3612,... < 100 DM,.. >= 7 years,3,female , divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
539,1,< 0 DM,48,existing credits paid back duly till now,car (new),7763,... < 100 DM,.. >= 7 years,4,male , single,none,4,unknown / no property,42,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,
540,0,>= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,3049,... < 100 DM,... < 1 year ,1,female , divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,45,stores,own,1,unskilled - resident,1,none,yes,
541,1,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1534,... < 100 DM,... < 1 year ,1,male , married/widowed,none,1,real estate,23,none,rent,1,skilled employee / official,1,none,yes,
542,0,no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,.. >= 7 years,4,male , single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
543,1,< 0 DM,30,existing credits paid back duly till now,radio/television,6350,unknown/ no savings account,.. >= 7 years,4,male , single,none,4,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,none,yes,
544,1,>= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,2864,... < 100 DM,1 <= ... < 4 years,2,male , single,none,1,real estate,34,none,own,1,unskilled - resident,2,none,yes,
545,0,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,... < 100 DM,.. >= 7 years,4,male , single,none,4,real estate,61,none,own,2,unskilled - resident,1,none,yes,
546,1,< 0 DM,24,delay in paying off in the past,car (new),1333,... < 100 DM,unemployed,4,male , single,none,2,real estate,43,none,for free,2,skilled employee / official,2,none,yes,
547,0,no checking account,24,critical account/ other credits existing (not at this bank),car (new),2022,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
548,0,no checking account,24,existing credits paid back duly till now,domestic appliances,1552,... < 100 DM,4 <= ... < 7 years,3,male , single,none,1,"if not A121/A122 : car or other, not in attribute 6",32,bank,own,1,skilled employee / official,2,none,yes,
549,1,< 0 DM,12,all credits at this bank paid back duly,domestic appliances,626,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes,
550,0,no checking account,48,critical account/ other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4 <= ... < 7 years,2,male , single,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
551,0,no checking account,12,critical account/ other credits existing (not at this bank),education,996,unknown/ no savings account,4 <= ... < 7 years,4,female , divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,
552,0,no checking account,6,all credits at this bank paid back duly,domestic appliances,1750,500 <= ... < 1000 DM ,.. >= 7 years,2,male , single,none,4,if not A121 : building society savings agreement/ life insurance,45,bank,own,1,unskilled - resident,2,none,yes,
553,1,< 0 DM,48,existing credits paid back duly till now,domestic appliances,6999,... < 100 DM,4 <= ... < 7 years,1,male , married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
554,0,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 <= ... < 500 DM,... < 1 year ,4,male , single,none,1,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes,
555,0,0 <= ... < 200 DM,9,existing credits paid back duly till now,(vacation - does not exist?),1199,... < 100 DM,4 <= ... < 7 years,4,female , divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,67,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
556,1,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1331,... < 100 DM,... < 1 year ,2,male , single,none,1,"if not A121/A122 : car or other, not in attribute 6",22,stores,own,1,skilled employee / official,1,none,yes,
557,1,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,100 <= ... < 500 DM,... < 1 year ,3,female , divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,
558,1,no checking account,21,no credits taken/ all credits paid back duly,car (new),5003,unknown/ no savings account,1 <= ... < 4 years,1,female , divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,29,bank,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
559,1,< 0 DM,24,all credits at this bank paid back duly,radio/television,3552,... < 100 DM,4 <= ... < 7 years,3,male , single,none,4,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,1,skilled employee / official,1,none,yes,
560,1,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1928,... < 100 DM,... < 1 year ,2,male , single,none,2,real estate,31,none,own,2,unskilled - resident,1,none,yes,
561,0,< 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,.. >= 7 years,4,male , single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name ",yes,
562,1,< 0 DM,24,all credits at this bank paid back duly,domestic appliances,1546,... < 100 DM,4 <= ... < 7 years,4,male , single,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",24,bank,rent,1,unskilled - resident,1,none,yes,
563,0,>= 200 DM / salary assignments for at least 1 year,6,delay in paying off in the past,domestic appliances,683,... < 100 DM,... < 1 year ,2,female , divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,29,bank,own,1,skilled employee / official,1,none,yes,
564,1,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1 <= ... < 4 years,1,male , single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
565,0,0 <= ... < 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1 <= ... < 4 years,4,male , single,none,2,if not A121 : building society savings agreement/ life insurance,37,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
566,0,0 <= ... < 200 DM,24,delay in paying off in the past,domestic appliances,1553,100 <= ... < 500 DM,4 <= ... < 7 years,3,female , divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
567,1,< 0 DM,12,existing credits paid back duly till now,car (new),1372,... < 100 DM,4 <= ... < 7 years,2,male , divorced/separated,none,3,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,none,yes,
568,0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,2578,.. >= 1000 DM ,.. >= 7 years,2,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes,
569,0,0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,3979,unknown/ no savings account,4 <= ... < 7 years,4,male , single,none,1,"if not A121/A122 : car or other, not in attribute 6",41,none,own,2,skilled employee / official,2,"yes, registered under the customers name ",yes,
570,1,< 0 DM,48,existing credits paid back duly till now,domestic appliances,6758,... < 100 DM,1 <= ... < 4 years,3,female , divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
571,1,< 0 DM,24,existing credits paid back duly till now,radio/television,3234,... < 100 DM,... < 1 year ,4,female , divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,"yes, registered under the customers name ",yes,
572,0,no checking account,30,critical account/ other credits existing (not at this bank),domestic appliances,5954,... < 100 DM,4 <= ... < 7 years,3,male , single,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",38,none,own,1,skilled employee / official,1,none,yes,
573,0,no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,female , divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
574,0,< 0 DM,15,existing credits paid back duly till now,business,806,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,none,yes,
575,0,0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,1082,... < 100 DM,.. >= 7 years,4,male , single,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes,
576,0,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,2788,... < 100 DM,4 <= ... < 7 years,2,female , divorced/separated/married,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",24,bank,own,2,skilled employee / official,1,none,yes,
577,0,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,2930,... < 100 DM,4 <= ... < 7 years,2,female , divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee / official,1,none,yes,
578,0,no checking account,24,critical account/ other credits existing (not at this bank),(vacation - does not exist?),1927,unknown/ no savings account,1 <= ... < 4 years,3,female , divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
579,1,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (new),2820,... < 100 DM,... < 1 year ,4,male , divorced/separated,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,
580,0,no checking account,24,existing credits paid back duly till now,retraining,937,... < 100 DM,... < 1 year ,4,male , married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes,
581,1,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1056,... < 100 DM,.. >= 7 years,3,male , single,guarantor,3,real estate,30,bank,own,2,skilled employee / official,1,none,yes,
582,0,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),3124,... < 100 DM,... < 1 year ,1,male , single,none,3,real estate,49,bank,own,2,unskilled - resident,2,none,yes,
583,0,no checking account,9,existing credits paid back duly till now,radio/television,1388,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee / official,1,none,yes,
584,1,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2384,... < 100 DM,... < 1 year ,4,male , single,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,none,yes,
585,0,no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,.. >= 7 years,4,female , divorced/separated/married,none,4,unknown / no property,52,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
586,1,< 0 DM,18,existing credits paid back duly till now,radio/television,2039,... < 100 DM,1 <= ... < 4 years,1,female , divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee / official,1,none,yes,
587,0,< 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,... < 100 DM,1 <= ... < 4 years,2,male , single,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,yes,
588,0,< 0 DM,12,existing credits paid back duly till now,radio/television,1289,... < 100 DM,1 <= ... < 4 years,4,male , single,guarantor,1,if not A121 : building society savings agreement/ life insurance,21,none,own,1,unskilled - resident,1,none,yes,
589,1,< 0 DM,18,existing credits paid back duly till now,repairs,1217,... < 100 DM,1 <= ... < 4 years,4,male , married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes,
590,1,< 0 DM,12,critical account/ other credits existing (not at this bank),radio/television,2246,... < 100 DM,.. >= 7 years,3,male , single,none,3,if not A121 : building society savings agreement/ life insurance,60,none,own,2,skilled employee / official,1,none,yes,
591,0,< 0 DM,12,critical account/ other credits existing (not at this bank),domestic appliances,385,... < 100 DM,4 <= ... < 7 years,4,female , divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,"yes, registered under the customers name ",yes,
592,0,0 <= ... < 200 DM,24,delay in paying off in the past,car (new),1965,unknown/ no savings account,1 <= ... < 4 years,4,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",42,none,rent,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
593,0,no checking account,21,existing credits paid back duly till now,business,1572,.. >= 1000 DM ,.. >= 7 years,4,female , divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,none,yes,
594,1,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2718,... < 100 DM,1 <= ... < 4 years,3,female , divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,20,none,rent,1,unskilled - resident,1,"yes, registered under the customers name ",yes,
595,1,< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,1358,unknown/ no savings account,.. >= 7 years,4,male , single,none,3,"if not A121/A122 : car or other, not in attribute 6",40,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
596,1,0 <= ... < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= ... < 500 DM,... < 1 year ,1,female , divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,32,stores,own,1,unskilled - resident,1,none,yes,
597,1,< 0 DM,24,existing credits paid back duly till now,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,rent,2,skilled employee / official,1,none,yes,
598,1,0 <= ... < 200 DM,24,no credits taken/ all credits paid back duly,business,4241,... < 100 DM,1 <= ... < 4 years,1,male , single,none,4,real estate,36,none,own,3,unskilled - resident,1,"yes, registered under the customers name ",yes,
599,1,no checking account,18,critical account/ other credits existing (not at this bank),car (new),2775,... < 100 DM,4 <= ... < 7 years,2,male , single,none,2,if not A121 : building society savings agreement/ life insurance,31,bank,own,2,skilled employee / official,1,none,yes,
600,0,no checking account,24,delay in paying off in the past,business,3863,... < 100 DM,1 <= ... < 4 years,1,male , single,none,2,unknown / no property,32,none,for free,1,skilled employee / official,1,none,yes,
601,0,0 <= ... < 200 DM,7,existing credits paid back duly till now,domestic appliances,2329,... < 100 DM,... < 1 year ,1,female , divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,
602,1,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,918,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,none,yes,
603,1,0 <= ... < 200 DM,24,all credits at this bank paid back duly,(vacation - does not exist?),1837,... < 100 DM,4 <= ... < 7 years,4,female , divorced/separated/married,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1,none,yes,
604,1,no checking account,36,existing credits paid back duly till now,radio/television,3349,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
605,0,>= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,radio/television,1275,... < 100 DM,... < 1 year ,4,female , divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes,
606,0,< 0 DM,24,all credits at this bank paid back duly,radio/television,2828,500 <= ... < 1000 DM ,1 <= ... < 4 years,4,male , single,none,4,real estate,22,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
607,0,no checking account,24,critical account/ other credits existing (not at this bank),business,4526,... < 100 DM,1 <= ... < 4 years,3,male , single,none,2,real estate,74,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
608,1,0 <= ... < 200 DM,36,existing credits paid back duly till now,domestic appliances,2671,100 <= ... < 500 DM,1 <= ... < 4 years,4,female , divorced/separated/married,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes,
609,0,no checking account,18,existing credits paid back duly till now,domestic appliances,2051,... < 100 DM,... < 1 year ,4,male , single,none,1,real estate,33,none,own,1,skilled employee / official,1,none,yes,
610,0,no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,.. >= 7 years,4,male , single,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2,none,yes,
611,1,< 0 DM,12,existing credits paid back duly till now,repairs,741,100 <= ... < 500 DM,unemployed,4,female , divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes,
612,1,>= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1240,100 <= ... < 500 DM,.. >= 7 years,1,female , divorced/separated/married,none,4,unknown / no property,48,none,for free,1,unskilled - resident,2,none,yes,
613,0,< 0 DM,21,existing credits paid back duly till now,domestic appliances,3357,.. >= 1000 DM ,... < 1 year ,4,female , divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes,
614,0,< 0 DM,24,all credits at this bank paid back duly,car (used),3632,... < 100 DM,1 <= ... < 4 years,1,female , divorced/separated/married,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",22,bank,rent,1,skilled employee / official,1,none,no,
615,1,no checking account,18,delay in paying off in the past,radio/television,1808,... < 100 DM,4 <= ... < 7 years,4,female , divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,
616,0,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,12204,unknown/ no savings account,1 <= ... < 4 years,2,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",48,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
617,0,0 <= ... < 200 DM,60,delay in paying off in the past,domestic appliances,9157,unknown/ no savings account,1 <= ... < 4 years,2,male , single,none,2,unknown / no property,27,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,
618,0,< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),3676,... < 100 DM,1 <= ... < 4 years,1,male , single,none,3,real estate,37,none,rent,3,skilled employee / official,2,none,yes,
619,1,0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,3441,100 <= ... < 500 DM,1 <= ... < 4 years,2,female , divorced/separated/married,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",21,none,rent,1,skilled employee / official,1,none,yes,
620,0,no checking account,12,existing credits paid back duly till now,car (new),640,... < 100 DM,1 <= ... < 4 years,4,male , divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,none,yes,
621,0,0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),business,3652,... < 100 DM,4 <= ... < 7 years,2,male , single,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,
622,1,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1530,... < 100 DM,1 <= ... < 4 years,3,male , single,none,2,if not A121 : building society savings agreement/ life insurance,32,bank,own,2,skilled employee / official,1,none,yes,
623,1,no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1 <= ... < 4 years,4,male , divorced/separated,none,2,real estate,38,bank,own,1,skilled employee / official,1,none,yes,
624,0,< 0 DM,12,existing credits paid back duly till now,radio/television,1858,... < 100 DM,... < 1 year ,4,female , divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,none,yes,
625,1,< 0 DM,18,existing credits paid back duly till now,domestic appliances,2600,... < 100 DM,1 <= ... < 4 years,4,male , single,none,4,unknown / no property,65,none,for free,2,skilled employee / official,1,none,yes,
626,0,no checking account,15,existing credits paid back duly till now,domestic appliances,1979,unknown/ no savings account,.. >= 7 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,none,yes,
627,0,>= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,radio/television,2116,... < 100 DM,1 <= ... < 4 years,2,male , single,none,2,real estate,41,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
628,1,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (new),1437,100 <= ... < 500 DM,4 <= ... < 7 years,2,male , single,none,3,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes,
629,0,no checking account,42,critical account/ other credits existing (not at this bank),radio/television,4042,500 <= ... < 1000 DM ,1 <= ... < 4 years,4,male , single,none,4,real estate,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
630,0,no checking account,9,existing credits paid back duly till now,(vacation - does not exist?),3832,unknown/ no savings account,.. >= 7 years,1,male , single,none,4,real estate,64,none,own,1,unskilled - resident,1,none,yes,
631,0,< 0 DM,24,existing credits paid back duly till now,domestic appliances,3660,... < 100 DM,1 <= ... < 4 years,2,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,
632,1,< 0 DM,18,all credits at this bank paid back duly,radio/television,1553,... < 100 DM,1 <= ... < 4 years,4,male , single,none,3,"if not A121/A122 : car or other, not in attribute 6",44,bank,own,1,skilled employee / official,1,none,yes,
633,0,0 <= ... < 200 DM,15,existing credits paid back duly till now,domestic appliances,1444,unknown/ no savings account,... < 1 year ,4,male , single,none,1,if not A121 : building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes,
634,1,no checking account,9,existing credits paid back duly till now,radio/television,1980,... < 100 DM,... < 1 year ,2,female , divorced/separated/married,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",19,none,rent,2,skilled employee / official,1,none,yes,
635,1,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1355,... < 100 DM,... < 1 year ,3,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes,
636,0,no checking account,12,existing credits paid back duly till now,(vacation - does not exist?),1393,... < 100 DM,.. >= 7 years,4,male , single,none,4,if not A121 : building society savings agreement/ life insurance,47,bank,own,3,skilled employee / official,2,"yes, registered under the customers name ",yes,
